location,date_time,path,year,month,day,hour,min
albentosa,2023-03-21 13:01:01,..\..\resources\images_ibericam\albentosa-20230321-130101.jpg,2023,3,21,13,1
albentosa,2023-03-21 13:02:01,..\..\resources\images_ibericam\albentosa-20230321-130201.jpg,2023,3,21,13,2
albentosa,2023-03-21 13:03:01,..\..\resources\images_ibericam\albentosa-20230321-130301.jpg,2023,3,21,13,3
albentosa,2023-03-21 13:04:01,..\..\resources\images_ibericam\albentosa-20230321-130401.jpg,2023,3,21,13,4
albentosa,2023-03-21 13:05:01,..\..\resources\images_ibericam\albentosa-20230321-130501.jpg,2023,3,21,13,5
albentosa,2023-03-22 13:01:01,..\..\resources\images_ibericam\albentosa-20230322-130101.jpg,2023,3,22,13,1
albentosa,2023-03-22 13:02:01,..\..\resources\images_ibericam\albentosa-20230322-130201.jpg,2023,3,22,13,2
albentosa,2023-03-22 13:03:01,..\..\resources\images_ibericam\albentosa-20230322-130301.jpg,2023,3,22,13,3
albentosa,2023-03-22 13:04:01,..\..\resources\images_ibericam\albentosa-20230322-130401.jpg,2023,3,22,13,4
albentosa,2023-03-22 13:05:01,..\..\resources\images_ibericam\albentosa-20230322-130501.jpg,2023,3,22,13,5
albentosa,2023-03-23 13:01:01,..\..\resources\images_ibericam\albentosa-20230323-130101.jpg,2023,3,23,13,1
albentosa,2023-03-23 13:02:01,..\..\resources\images_ibericam\albentosa-20230323-130201.jpg,2023,3,23,13,2
albentosa,2023-03-23 13:03:01,..\..\resources\images_ibericam\albentosa-20230323-130301.jpg,2023,3,23,13,3
albentosa,2023-03-23 13:04:01,..\..\resources\images_ibericam\albentosa-20230323-130401.jpg,2023,3,23,13,4
albentosa,2023-03-23 13:05:01,..\..\resources\images_ibericam\albentosa-20230323-130501.jpg,2023,3,23,13,5
albentosa,2023-03-24 13:01:01,..\..\resources\images_ibericam\albentosa-20230324-130101.jpg,2023,3,24,13,1
albentosa,2023-03-24 13:02:01,..\..\resources\images_ibericam\albentosa-20230324-130201.jpg,2023,3,24,13,2
albentosa,2023-03-24 13:03:01,..\..\resources\images_ibericam\albentosa-20230324-130301.jpg,2023,3,24,13,3
